id,daireKurul,esasNo,kararNo,kararTarihi
1087360300,6. Daire,2023/5983,2024/3577,04.06.2024
1087360400,6. Daire,2022/1220,2024/3574,04.06.2024
1087360100,6. Daire,2020/7863,2024/3556,04.06.2024
1087360200,6. Daire,2022/1980,2024/3580,04.06.2024
1087359900,6. Daire,2023/6825,2024/3578,04.06.2024
1087537300,12. Daire,2021/5948,2024/2855,04.06.2024
1082594300,9. Daire,2023/8973,2024/3385,04.06.2024
1082517700,10. Daire,2020/2492,2024/2373,04.06.2024
1082593400,10. Daire,2020/2597,2024/2378,04.06.2024
1082594200,9. Daire,2023/7441,2024/3425,04.06.2024
1082590900,10. Daire,2020/2491,2024/2372,04.06.2024
1082702100,10. Daire,2020/5388,2024/2380,04.06.2024
1082701000,10. Daire,2020/5426,2024/2376,04.06.2024
1082700900,10. Daire,2020/2723,2024/2374,04.06.2024
1083324400,2. Daire,2023/4766,2024/3420,04.06.2024
1083325600,10. Daire,2022/5619,2024/2386,04.06.2024
1083325500,10. Daire,2022/5622,2024/2390,04.06.2024
1084091000,2. Daire,2023/2818,2024/3434,04.06.2024
1083615200,2. Daire,2021/6362,2024/3460,04.06.2024
1083603600,10. Daire,2022/5695,2024/2387,04.06.2024
1083603700,10. Daire,2022/5638,2024/2389,04.06.2024
1083603800,10. Daire,2022/5698,2024/2388,04.06.2024
1083603900,10. Daire,2021/171,2024/2391,04.06.2024
1084211400,2. Daire,2023/5734,2024/3416,04.06.2024
1084606600,10. Daire,2020/4688,2024/2384,04.06.2024
1084606700,10. Daire,2020/4991,2024/2381,04.06.2024
1084636300,6. Daire,2023/4077,2024/3596,04.06.2024
1084605900,10. Daire,2022/5680,2024/2393,04.06.2024
1084606000,10. Daire,2022/5667,2024/2385,04.06.2024
1084471700,10. Daire,2020/4770,2024/2383,04.06.2024
1084391800,10. Daire,2021/1270,2024/2394,04.06.2024
1085566000,3. Daire,2024/1445,2024/3742,04.06.2024
1085565800,3. Daire,2024/1444,2024/3743,04.06.2024
1085085400,12. Daire,2021/7903,2024/2858,04.06.2024
1087905000,3. Daire,2023/5774,2024/3725,04.06.2024
1087700500,12. Daire,2021/3663,2024/2863,04.06.2024
1087780400,3. Daire,2023/5267,2024/3724,04.06.2024
1088491200,3. Daire,2024/5,2024/3734,04.06.2024
1088491100,3. Daire,2024/1081,2024/3736,04.06.2024
1088491300,3. Daire,2024/1079,2024/3735,04.06.2024
1088575400,2. Daire,2024/813,2024/3458,04.06.2024
1088742800,13. Daire,2024/1345,2024/2582,04.06.2024
1088742600,13. Daire,2020/3140,2024/2557,04.06.2024
1088615000,2. Daire,2024/797,2024/3453,04.06.2024
1089159000,3. Daire,2022/1928,2024/3756,04.06.2024
1089517500,3. Daire,2022/2091,2024/3759,04.06.2024
1089517600,3. Daire,2022/3789,2024/3757,04.06.2024
1089194200,İdare Dava Daireleri Kurulu,2023/280,2024/1257,04.06.2024
1089134800,İdare Dava Daireleri Kurulu,2023/272,2024/1255,04.06.2024
1089134700,İdare Dava Daireleri Kurulu,2023/263,2024/1256,04.06.2024
1089719100,3. Daire,2023/8957,2024/3708,04.06.2024
1089719500,4. Daire,2023/13852,2024/3672,04.06.2024
1089693200,3. Daire,2023/4881,2024/3727,04.06.2024
1089693900,4. Daire,2023/4843,2024/3703,04.06.2024
1089693800,4. Daire,2023/4834,2024/3700,04.06.2024
1089837100,3. Daire,2022/798,2024/3761,04.06.2024
1089837000,3. Daire,2023/9836,2024/3723,04.06.2024
1089909800,3. Daire,2024/1571,2024/3718,04.06.2024
1089799100,3. Daire,2022/4205,2024/3758,04.06.2024
1089837800,4. Daire,2023/5795,2024/3666,04.06.2024
1089837900,4. Daire,2023/5796,2024/3667,04.06.2024
1089837700,4. Daire,2023/5732,2024/3682,04.06.2024
1089837600,4. Daire,2023/5472,2024/3691,04.06.2024
1089994800,3. Daire,2023/206,2024/3755,04.06.2024
1089994600,3. Daire,2022/964,2024/3760,04.06.2024
1089994700,3. Daire,2023/205,2024/3754,04.06.2024
1090349900,4. Daire,2023/5181,2024/3676,04.06.2024
1090350100,4. Daire,2023/6300,2024/3656,04.06.2024
1090350600,4. Daire,2023/8994,2024/3701,04.06.2024
1090355600,13. Daire,2020/2681,2024/2565,04.06.2024
1090355800,13. Daire,2021/4829,2024/2564,04.06.2024
1090351100,4. Daire,2024/1211,2024/3655,04.06.2024
1090966000,12. Daire,2021/2798,2024/2873,04.06.2024
1091373600,3. Daire,2023/6738,2024/3750,04.06.2024
1091373800,3. Daire,2024/1894,2024/3751,04.06.2024
1091373700,3. Daire,2023/9319,2024/3753,04.06.2024
1091203800,13. Daire,2024/432,2024/2571,04.06.2024
1091274800,13. Daire,2024/1148,2024/2572,04.06.2024
1091274700,13. Daire,2024/1127,2024/2573,04.06.2024
1091275100,13. Daire,2024/1434,2024/2575,04.06.2024
1077133900,7. Daire,2023/3491,2024/2920,03.06.2024
1081145900,10. Daire,2023/6669,2024/2353,03.06.2024
1081145800,10. Daire,2023/2997,2024/2361,03.06.2024
1081098100,10. Daire,2020/809,2024/2348,03.06.2024
1081098200,10. Daire,2023/4912,2024/2360,03.06.2024
1081249000,10. Daire,2023/659,2024/2349,03.06.2024
1081548300,10. Daire,2020/4265,2024/2358,03.06.2024
1081548400,10. Daire,2023/434,2024/2351,03.06.2024
1081548100,10. Daire,2023/5069,2024/2347,03.06.2024
1081548200,10. Daire,2020/3208,2024/2359,03.06.2024
1081548500,10. Daire,2023/1344,2024/2350,03.06.2024
1081549600,10. Daire,2023/3994,2024/2362,03.06.2024
1082155100,10. Daire,2023/2996,2024/2364,03.06.2024
1082025100,9. Daire,2024/2935,2024/3319,03.06.2024
1086554400,3. Daire,2022/4023,2024/3686,03.06.2024
1086184800,12. Daire,2023/1914,2024/2830,03.06.2024
1086182300,6. Daire,2024/2701,2024/3536,03.06.2024
1087360600,6. Daire,2023/8664,2024/3517,03.06.2024
1087360000,6. Daire,2023/8509,2024/3518,03.06.2024
1087359800,6. Daire,2020/4019,2024/3512,03.06.2024
1082588700,10. Daire,2023/1101,2024/2365,03.06.2024
1083885900,9. Daire,2023/5952,2024/3321,03.06.2024
1083726400,4. Daire,2023/12284,2024/3610,03.06.2024
1083606900,9. Daire,2023/6271,2024/3333,03.06.2024
1084636400,6. Daire,2022/6122,2024/3506,03.06.2024
1084909700,2. Daire,2024/772,2024/3401,03.06.2024
1085565900,3. Daire,2022/2125,2024/3660,03.06.2024
1085084100,4. Daire,2024/1784,2024/3604,03.06.2024
1085141100,3. Daire,2022/2123,2024/3661,03.06.2024
1085128700,3. Daire,2022/2124,2024/3662,03.06.2024
1087935200,6. Daire,2023/4728,2024/3501,03.06.2024
1088491500,4. Daire,2023/4743,2024/3621,03.06.2024
1088649500,4. Daire,2023/6516,2024/3634,03.06.2024
1088742300,2. Daire,2024/777,2024/3402,03.06.2024
1088742500,2. Daire,2024/798,2024/3407,03.06.2024
1088742400,2. Daire,2024/790,2024/3403,03.06.2024
1088572800,4. Daire,2023/4984,2024/3617,03.06.2024
1088572900,4. Daire,2023/5117,2024/3625,03.06.2024
1088573000,4. Daire,2023/5067,2024/3580,03.06.2024
1088529000,4. Daire,2023/4983,2024/3618,03.06.2024
1088572700,4. Daire,2023/5051,2024/3576,03.06.2024
1088623900,4. Daire,2023/6473,2024/3633,03.06.2024
1088706400,4. Daire,2023/5125,2024/3606,03.06.2024
1088706300,4. Daire,2024/220,2024/3577,03.06.2024
1088706700,4. Daire,2023/6374,2024/3607,03.06.2024
1088707500,2. Daire,2024/800,2024/3408,03.06.2024
1088707600,2. Daire,2024/834,2024/3410,03.06.2024
1088707400,2. Daire,2024/792,2024/3404,03.06.2024
1088707100,2. Daire,2024/794,2024/3405,03.06.2024
1088707300,2. Daire,2024/795,2024/3406,03.06.2024
1088707200,2. Daire,2024/801,2024/3409,03.06.2024
1088527600,4. Daire,2023/4932,2024/3586,03.06.2024
1088527900,4. Daire,2023/4959,2024/3575,03.06.2024
1088527800,4. Daire,2023/4841,2024/3622,03.06.2024
1088527700,4. Daire,2023/4927,2024/3581,03.06.2024
1088649400,4. Daire,2023/13021,2024/3616,03.06.2024
1088706000,4. Daire,2023/13059,2024/3615,03.06.2024
1088705900,4. Daire,2023/6076,2024/3605,03.06.2024
1088613000,4. Daire,2023/6033,2024/3642,03.06.2024
1089158900,3. Daire,2022/1406,2024/3663,03.06.2024
1089533700,4. Daire,2023/8421,2024/3609,03.06.2024
1089126200,4. Daire,2023/5251,2024/3626,03.06.2024
1089126100,4. Daire,2023/5065,2024/3624,03.06.2024
1089126300,4. Daire,2023/5801,2024/3591,03.06.2024
1089194600,3. Daire,2022/3978,2024/3674,03.06.2024
1089693300,3. Daire,2023/6102,2024/3665,03.06.2024
1089995000,3. Daire,2023/6853,2024/3691,03.06.2024
1089836700,3. Daire,2023/6050,2024/3664,03.06.2024
1089840700,13. Daire,2024/778,2024/2536,03.06.2024
1089840200,13. Daire,2024/628,2024/2534,03.06.2024
1089799400,4. Daire,2024/219,2024/3574,03.06.2024
1089994500,3. Daire,2022/875,2024/3671,03.06.2024
1091272200,3. Daire,2024/1634,2024/3694,03.06.2024
1091272100,3. Daire,2024/1633,2024/3695,03.06.2024
1075620400,8. Daire,2020/3336,2024/3428,31.05.2024
1075828300,8. Daire,2020/7212,2024/3449,31.05.2024
1075828500,8. Daire,2020/6504,2024/3464,31.05.2024
1076135200,8. Daire,2021/789,2024/3450,31.05.2024
1075828200,8. Daire,2020/6790,2024/3448,31.05.2024
1075828100,8. Daire,2020/4988,2024/3462,31.05.2024
1078091900,8. Daire,2021/2029,2024/3484,31.05.2024
1078866700,8. Daire,2024/520,2024/3461,31.05.2024
1078866900,8. Daire,2023/6684,2024/3463,31.05.2024
1079830000,8. Daire,2019/7044,2024/3430,31.05.2024
1080864400,8. Daire,2022/5221,2024/3432,31.05.2024
1081793100,8. Daire,2024/1831,2024/3434,31.05.2024
1081763200,8. Daire,2023/4620,2024/3431,31.05.2024
1081763500,8. Daire,2022/2413,2024/3438,31.05.2024
1081763600,8. Daire,2022/2404,2024/3437,31.05.2024
1082209500,8. Daire,2024/2646,2024/3451,31.05.2024
1071716300,İdare Dava Daireleri Kurulu,2023/2916,2024/1251,30.05.2024
1071581700,İdare Dava Daireleri Kurulu,2023/268,2024/1243,30.05.2024
1071578600,İdare Dava Daireleri Kurulu,2023/1519,2024/1248,30.05.2024
1071732100,İdare Dava Daireleri Kurulu,2024/1118,2024/1240,30.05.2024
1071731900,İdare Dava Daireleri Kurulu,2024/1117,2024/1239,30.05.2024
1072347100,6. Daire,2023/1166,2024/3472,30.05.2024
1073059900,7. Daire,2021/4653,2024/2801,30.05.2024
1073070100,7. Daire,2022/3977,2024/2805,30.05.2024
1073085700,7. Daire,2023/1107,2024/2808,30.05.2024
1075806900,7. Daire,2021/1519,2024/2799,30.05.2024
1075393900,İdare Dava Daireleri Kurulu,2022/1518,2024/1234,30.05.2024
1075398900,7. Daire,2021/541,2024/2798,30.05.2024
1075394100,İdare Dava Daireleri Kurulu,2023/140,2024/1230,30.05.2024
1075394000,İdare Dava Daireleri Kurulu,2024/1116,2024/1238,30.05.2024
1075393300,İdare Dava Daireleri Kurulu,2024/1088,2024/1237,30.05.2024
1076141800,7. Daire,2022/1070,2024/2804,30.05.2024
1076323700,7. Daire,2021/1259,2024/2806,30.05.2024
1076323800,7. Daire,2022/1584,2024/2845,30.05.2024
1076323900,7. Daire,2022/420,2024/2844,30.05.2024
1076324000,7. Daire,2023/707,2024/2866,30.05.2024
1076328700,7. Daire,2021/4651,2024/2802,30.05.2024
1076858300,7. Daire,2023/436,2024/2830,30.05.2024
1076957500,7. Daire,2023/614,2024/2833,30.05.2024
1076845700,7. Daire,2023/2177,2024/2870,30.05.2024
1076845600,7. Daire,2022/2452,2024/2856,30.05.2024
1076845300,7. Daire,2023/51,2024/2831,30.05.2024
1076845500,7. Daire,2023/617,2024/2836,30.05.2024
1076845800,7. Daire,2023/616,2024/2835,30.05.2024
1077133600,7. Daire,2023/2442,2024/2869,30.05.2024
1077133700,7. Daire,2023/1960,2024/2880,30.05.2024
1076923700,7. Daire,2023/227,2024/2818,30.05.2024
1076923300,7. Daire,2022/3372,2024/2877,30.05.2024
1076845200,7. Daire,2023/619,2024/2838,30.05.2024
1077130900,7. Daire,2023/797,2024/2868,30.05.2024
1077131000,7. Daire,2023/753,2024/2867,30.05.2024
1078260800,8. Daire,2020/7839,2024/3404,30.05.2024
1078260600,8. Daire,2020/6585,2024/3403,30.05.2024
1078502900,8. Daire,2020/7479,2024/3401,30.05.2024
1078536600,8. Daire,2020/6594,2024/3398,30.05.2024
1078535800,8. Daire,2020/6718,2024/3402,30.05.2024
1078536900,8. Daire,2023/1569,2024/3415,30.05.2024
1078867100,8. Daire,2022/6539,2024/3380,30.05.2024
1079069600,8. Daire,2022/4037,2024/3406,30.05.2024
1079831000,7. Daire,2021/4652,2024/2803,30.05.2024
1080000400,8. Daire,2023/4462,2024/3370,30.05.2024
1081145700,10. Daire,2020/5012,2024/2331,30.05.2024
1081248700,10. Daire,2020/4176,2024/2330,30.05.2024
1081249100,10. Daire,2022/1119,2024/2335,30.05.2024
1081248800,10. Daire,2020/915,2024/2329,30.05.2024
1081248900,10. Daire,2022/856,2024/2334,30.05.2024
1081547700,10. Daire,2021/1634,2024/2288,30.05.2024
1081793300,8. Daire,2023/2615,2024/3416,30.05.2024
1081792900,8. Daire,2022/7675,2024/3420,30.05.2024
1081695800,10. Daire,2022/6937,2024/2289,30.05.2024
1081961500,10. Daire,2020/2373,2024/2337,30.05.2024
1081763400,8. Daire,2023/2849,2024/3414,30.05.2024
1082209700,10. Daire,2022/8787,2024/2316,30.05.2024
1082166300,7. Daire,2022/2443,2024/2800,30.05.2024
1082025200,9. Daire,2023/651,2024/3279,30.05.2024
1082025300,9. Daire,2023/635,2024/3278,30.05.2024
1082025400,9. Daire,2023/601,2024/3286,30.05.2024
1082025000,9. Daire,2023/602,2024/3285,30.05.2024
1082024900,9. Daire,2023/603,2024/3276,30.05.2024
1080802600,7. Daire,2024/245,2024/2878,30.05.2024
1080747400,7. Daire,2023/389,2024/2865,30.05.2024
1086520200,3. Daire,2023/6222,2024/3624,30.05.2024
1087360700,6. Daire,2023/9217,2024/3468,30.05.2024
1082729300,9. Daire,2023/608,2024/3270,30.05.2024
1082729400,9. Daire,2023/639,2024/3273,30.05.2024
1082729500,9. Daire,2023/4234,2024/3228,30.05.2024
1082729600,9. Daire,2023/8286,2024/3245,30.05.2024
1083214700,10. Daire,2020/4246,2024/2286,30.05.2024
1082729800,9. Daire,2023/605,2024/3274,30.05.2024
1082729700,9. Daire,2023/4330,2024/3230,30.05.2024
1082729900,9. Daire,2023/606,2024/3269,30.05.2024
1082900100,10. Daire,2024/2944,2024/2283,30.05.2024
1082793000,9. Daire,2023/640,2024/3272,30.05.2024
1082793100,9. Daire,2023/604,2024/3268,30.05.2024
1082793200,9. Daire,2023/636,2024/3271,30.05.2024
1083325400,10. Daire,2021/7658,2024/2322,30.05.2024
1084090900,2. Daire,2024/1346,2024/3347,30.05.2024
1084090800,2. Daire,2024/857,2024/3352,30.05.2024
1084090400,2. Daire,2018/4027,2024/3317,30.05.2024
1084224700,10. Daire,2021/962,2024/2303,30.05.2024
1084211100,2. Daire,2022/3367,2024/3319,30.05.2024
1084905600,10. Daire,2022/5956,2024/2293,30.05.2024
1084609500,3. Daire,2023/3174,2024/3629,30.05.2024
1084471500,10. Daire,2024/2826,2024/2281,30.05.2024
1084610100,2. Daire,2023/2443,2024/3348,30.05.2024
1084610200,2. Daire,2021/9094,2024/3349,30.05.2024
1084905900,9. Daire,2023/653,2024/3284,30.05.2024
1085080100,9. Daire,2023/637,2024/3280,30.05.2024
1085195500,9. Daire,2023/652,2024/3283,30.05.2024
1085196200,9. Daire,2023/650,2024/3282,30.05.2024
1085079800,9. Daire,2023/638,2024/3277,30.05.2024
1085080000,9. Daire,2023/607,2024/3281,30.05.2024
1085079900,9. Daire,2023/634,2024/3287,30.05.2024
1085088300,2. Daire,2021/17695,2024/3322,30.05.2024
1085128800,3. Daire,2024/1296,2024/3621,30.05.2024
1085139300,3. Daire,2023/3173,2024/3628,30.05.2024
1087699400,4. Daire,2023/11516,2024/3572,30.05.2024
1088706500,4. Daire,2024/355,2024/3556,30.05.2024
1088706100,4. Daire,2024/476,2024/3546,30.05.2024
1089194400,İdare Dava Daireleri Kurulu,2024/1119,2024/1241,30.05.2024
1089194300,İdare Dava Daireleri Kurulu,2023/3166,2024/1227,30.05.2024
1089194700,3. Daire,2023/6221,2024/3623,30.05.2024
1089194500,3. Daire,2022/1493,2024/3630,30.05.2024
1089719000,3. Daire,2023/6220,2024/3626,30.05.2024
1089911800,4. Daire,2024/752,2024/3549,30.05.2024
1089911700,4. Daire,2024/1166,2024/3573,30.05.2024
1089913000,13. Daire,2024/1186,2024/2461,30.05.2024
1089577800,3. Daire,2023/280,2024/3639,30.05.2024
1089837300,4. Daire,2024/555,2024/3547,30.05.2024
1089836900,3. Daire,2023/6223,2024/3627,30.05.2024
1089836800,3. Daire,2023/6219,2024/3625,30.05.2024
1089909700,3. Daire,2023/986,2024/3606,30.05.2024
1089799800,13. Daire,2024/881,2024/2458,30.05.2024
1089840100,13. Daire,2024/1437,2024/2473,30.05.2024
1089909900,3. Daire,2024/628,2024/3607,30.05.2024
1089910000,3. Daire,2024/629,2024/3608,30.05.2024
1089799300,4. Daire,2023/14040,2024/3567,30.05.2024
1089799500,4. Daire,2024/270,2024/3548,30.05.2024
1089837500,4. Daire,2024/656,2024/3554,30.05.2024
1089837400,4. Daire,2024/556,2024/3550,30.05.2024
1089838200,2. Daire,2018/1222,2024/3345,30.05.2024
1089838500,2. Daire,2018/2992,2024/3339,30.05.2024
1090510400,4. Daire,2023/11524,2024/3571,30.05.2024
1090355300,13. Daire,2019/1641,2024/2471,30.05.2024
1070958200,İdare Dava Daireleri Kurulu,2022/3725,2024/1215,29.05.2024
1072348000,6. Daire,2020/7418,2024/3362,29.05.2024
1072347900,6. Daire,2020/5433,2024/3357,29.05.2024
1072348200,6. Daire,2020/8316,2024/3353,29.05.2024
1072348300,6. Daire,2020/8389,2024/3361,29.05.2024
1072348100,6. Daire,2020/7789,2024/3372,29.05.2024
1072350300,6. Daire,2020/5857,2024/3365,29.05.2024
1072350500,6. Daire,2020/7935,2024/3363,29.05.2024
1072350600,6. Daire,2020/8388,2024/3364,29.05.2024
1072348500,6. Daire,2022/884,2024/3370,29.05.2024
1072348400,6. Daire,2020/8503,2024/3344,29.05.2024
1073070300,7. Daire,2022/4005,2024/2791,29.05.2024
1075393500,İdare Dava Daireleri Kurulu,2024/771,2024/1221,29.05.2024
1075619400,8. Daire,2019/5274,2024/3315,29.05.2024
1075393700,İdare Dava Daireleri Kurulu,2022/3726,2024/1216,29.05.2024
1075394200,İdare Dava Daireleri Kurulu,2024/1015,2024/1222,29.05.2024
1075393600,İdare Dava Daireleri Kurulu,2023/2982,2024/1219,29.05.2024
1076324500,8. Daire,2022/3537,2024/3363,29.05.2024
1076337800,8. Daire,2022/3766,2024/3330,29.05.2024
1076616600,8. Daire,2022/3595,2024/3304,29.05.2024
1076616500,8. Daire,2022/4607,2024/3318,29.05.2024
1076616700,8. Daire,2022/3540,2024/3328,29.05.2024
1076616900,8. Daire,2022/3640,2024/3310,29.05.2024
1076338100,8. Daire,2022/3496,2024/3340,29.05.2024
1076338200,8. Daire,2022/3460,2024/3335,29.05.2024
1076338300,8. Daire,2022/3499,2024/3319,29.05.2024
1076343500,8. Daire,2022/3456,2024/3300,29.05.2024
1076324300,8. Daire,2022/4345,2024/3349,29.05.2024
1076324400,8. Daire,2022/3600,2024/3364,29.05.2024
1076352000,8. Daire,2022/3838,2024/3360,29.05.2024
1076957400,7. Daire,2024/1083,2024/2780,29.05.2024
1077133800,7. Daire,2023/2374,2024/2784,29.05.2024
1078098100,8. Daire,2022/3464,2024/3342,29.05.2024
1078641200,8. Daire,2022/3820,2024/3348,29.05.2024
1078641400,8. Daire,2022/3834,2024/3306,29.05.2024
1078641300,8. Daire,2022/3703,2024/3346,29.05.2024
1078633000,8. Daire,2022/3824,2024/3341,29.05.2024
1078633100,8. Daire,2022/3494,2024/3331,29.05.2024
1078632900,8. Daire,2022/3764,2024/3316,29.05.2024
1078632800,8. Daire,2022/3593,2024/3314,29.05.2024
1078502700,8. Daire,2020/7818,2024/3353,29.05.2024
1078633400,8. Daire,2022/3902,2024/3334,29.05.2024
1078633200,8. Daire,2022/3767,2024/3369,29.05.2024
1078633300,8. Daire,2022/3704,2024/3357,29.05.2024
1078623300,8. Daire,2022/3535,2024/3344,29.05.2024
1078536400,8. Daire,2020/2476,2024/3354,29.05.2024
1078536700,8. Daire,2021/3620,2024/3277,29.05.2024
1078536300,8. Daire,2021/4738,2024/3273,29.05.2024
1078536100,8. Daire,2020/4818,2024/3276,29.05.2024
1078535900,8. Daire,2021/4620,2024/3275,29.05.2024
1078869500,8. Daire,2020/3434,2024/3270,29.05.2024
1078869600,8. Daire,2021/1380,2024/3287,29.05.2024
1078867000,8. Daire,2021/3051,2024/3274,29.05.2024
1078867200,8. Daire,2020/2532,2024/3271,29.05.2024
1079999100,8. Daire,2022/7728,2024/3298,29.05.2024
1080000600,8. Daire,2022/7914,2024/3366,29.05.2024
1080000800,8. Daire,2022/6512,2024/3359,29.05.2024
1079998800,8. Daire,2022/6633,2024/3309,29.05.2024
1081292600,10. Daire,2023/6558,2024/2261,29.05.2024
1081548000,10. Daire,2022/2464,2024/2268,29.05.2024
1081547500,10. Daire,2021/1598,2024/2221,29.05.2024
1081549800,10. Daire,2021/3258,2024/2252,29.05.2024
1081549700,10. Daire,2021/3256,2024/2250,29.05.2024
1081695500,10. Daire,2024/628,2024/2270,29.05.2024
1082171800,9. Daire,2023/6956,2024/3132,29.05.2024
1082172000,9. Daire,2022/2983,2024/3135,29.05.2024
1082171600,9. Daire,2022/1179,2024/3160,29.05.2024
1082209900,10. Daire,2024/460,2024/2254,29.05.2024
1082171200,10. Daire,2021/3056,2024/2235,29.05.2024
1082178900,10. Daire,2021/3056,2024/2235,29.05.2024
1080754800,8. Daire,2022/3908,2024/3296,29.05.2024
1080754900,8. Daire,2022/3497,2024/3327,29.05.2024
1080754700,8. Daire,2022/3591,2024/3312,29.05.2024
1080364400,8. Daire,2022/3839,2024/3305,29.05.2024
1080364500,8. Daire,2022/3899,2024/3338,29.05.2024
1080364300,8. Daire,2022/3823,2024/3339,29.05.2024
1080364600,8. Daire,2022/3881,2024/3336,29.05.2024
1080354700,8. Daire,2022/4420,2024/3313,29.05.2024
1080342400,7. Daire,2023/3745,2024/2796,29.05.2024
1080747600,8. Daire,2022/3502,2024/3350,29.05.2024
1080747700,8. Daire,2022/3761,2024/3320,29.05.2024
1080749900,8. Daire,2022/3762,2024/3307,29.05.2024
1080750000,8. Daire,2022/3539,2024/3297,29.05.2024
1080750100,8. Daire,2022/3826,2024/3367,29.05.2024
1080750200,8. Daire,2024/2506,2024/3266,29.05.2024
1080764100,8. Daire,2022/3759,2024/3317,29.05.2024
1080785900,8. Daire,2022/3458,2024/3333,29.05.2024
1080786400,8. Daire,2022/3638,2024/3347,29.05.2024
1080747500,8. Daire,2022/3821,2024/3368,29.05.2024
1080761200,8. Daire,2022/3454,2024/3302,29.05.2024
1080761000,8. Daire,2022/3765,2024/3343,29.05.2024
1080760700,8. Daire,2022/3893,2024/3361,29.05.2024
1080760800,8. Daire,2022/3771,2024/3358,29.05.2024
1080761100,8. Daire,2024/2759,2024/3272,29.05.2024
1080763800,8. Daire,2022/3541,2024/3329,29.05.2024
1080764000,8. Daire,2022/3453,2024/3365,29.05.2024
1080765700,8. Daire,2022/3452,2024/3311,29.05.2024
1080765600,8. Daire,2022/3495,2024/3308,29.05.2024
1080786000,8. Daire,2022/3592,2024/3337,29.05.2024
1080786100,8. Daire,2022/3598,2024/3362,29.05.2024
1086694400,4. Daire,2024/724,2024/3497,29.05.2024
1086694600,4. Daire,2023/10428,2024/3521,29.05.2024
1086909700,4. Daire,2023/10431,2024/3522,29.05.2024
1086910500,4. Daire,2023/10439,2024/3523,29.05.2024
1082589400,10. Daire,2024/809,2024/2263,29.05.2024
1082592800,10. Daire,2021/2889,2024/2225,29.05.2024
1082592900,10. Daire,2021/2972,2024/2228,29.05.2024
1082593000,10. Daire,2021/3040,2024/2231,29.05.2024
1082593100,10. Daire,2021/2961,2024/2226,29.05.2024
1082531800,10. Daire,2021/3042,2024/2232,29.05.2024
1082531900,10. Daire,2021/3260,2024/2253,29.05.2024
1082531500,10. Daire,2021/3257,2024/2251,29.05.2024
1082538800,10. Daire,2020/3381,2024/2220,29.05.2024
1082498600,7. Daire,2022/778,2024/2769,29.05.2024
1082534700,10. Daire,2021/3262,2024/2243,29.05.2024
1082534500,10. Daire,2021/3062,2024/2236,29.05.2024
1082534600,10. Daire,2021/3108,2024/2238,29.05.2024
1082592300,10. Daire,2021/3038,2024/2230,29.05.2024
1082592600,10. Daire,2021/3153,2024/2241,29.05.2024
1082592200,10. Daire,2021/3123,2024/2240,29.05.2024
1082592400,10. Daire,2021/3103,2024/2237,29.05.2024
1082592100,10. Daire,2021/6525,2024/2248,29.05.2024
1082592700,10. Daire,2021/3054,2024/2234,29.05.2024
1082592500,10. Daire,2021/3109,2024/2239,29.05.2024
1082531700,10. Daire,2021/3534,2024/2246,29.05.2024
1082531600,10. Daire,2021/3026,2024/2229,29.05.2024
1082705400,10. Daire,2021/2825,2024/2224,29.05.2024
1082904000,8. Daire,2022/3763,2024/3299,29.05.2024
1082903900,8. Daire,2022/4419,2024/3301,29.05.2024
1082903800,8. Daire,2022/3912,2024/3332,29.05.2024
1082903600,8. Daire,2022/3462,2024/3303,29.05.2024
1083164100,10. Daire,2021/2971,2024/2227,29.05.2024
1083322500,10. Daire,2022/126,2024/2249,29.05.2024
1084090600,2. Daire,2019/1736,2024/3291,29.05.2024
1084090500,2. Daire,2020/2400,2024/3302,29.05.2024
1083724600,10. Daire,2023/6195,2024/2255,29.05.2024
1083603500,10. Daire,2022/1705,2024/2258,29.05.2024
1084391700,10. Daire,2021/2045,2024/2223,29.05.2024
1084909600,2. Daire,2024/951,2024/3297,29.05.2024
1084909800,2. Daire,2024/847,2024/3294,29.05.2024
1084472000,10. Daire,2021/3253,2024/2242,29.05.2024
1084471800,10. Daire,2021/3428,2024/2244,29.05.2024
1084471600,10. Daire,2021/3044,2024/2233,29.05.2024
1084471400,10. Daire,2021/3532,2024/2245,29.05.2024
1084471900,10. Daire,2021/3979,2024/2247,29.05.2024
1084610000,2. Daire,2024/846,2024/3293,29.05.2024
1084610300,2. Daire,2023/5153,2024/3306,29.05.2024
1085088400,2. Daire,2024/855,2024/3296,29.05.2024
1085122100,3. Daire,2023/6824,2024/3581,29.05.2024
1085082900,3. Daire,2023/11168,2024/3557,29.05.2024
1085083000,3. Daire,2024/566,2024/3558,29.05.2024
1085083200,3. Daire,2023/5431,2024/3547,29.05.2024
1085082600,3. Daire,2023/4893,2024/3571,29.05.2024
1085084300,4. Daire,2024/1616,2024/3508,29.05.2024
1085088200,2. Daire,2024/848,2024/3295,29.05.2024
1085929100,4. Daire,2023/10404,2024/3520,29.05.2024
1085747400,13. Daire,2024/650,2024/2434,29.05.2024
1085747500,13. Daire,2021/1745,2024/2427,29.05.2024
1087697900,3. Daire,2023/4711,2024/3545,29.05.2024
1087697500,3. Daire,2023/7616,2024/3569,29.05.2024
1087925200,3. Daire,2023/5949,2024/3579,29.05.2024
1087925100,3. Daire,2023/9427,2024/3580,29.05.2024
1087697200,3. Daire,2023/6821,2024/3572,29.05.2024
1088624200,4. Daire,2023/10453,2024/3526,29.05.2024
