id,daireKurul,esasNo,kararNo,kararTarihi
1089910300,3. Daire,2023/797,2024/4904,26.09.2024
1089910400,3. Daire,2023/799,2024/4912,26.09.2024
1091373200,3. Daire,2024/1940,2024/4929,26.09.2024
1076324100,7. Daire,2022/4597,2024/3766,25.09.2024
1081981100,10. Daire,2024/4770,2024/3389,25.09.2024
1082151400,10. Daire,2024/4769,2024/3379,25.09.2024
1082151600,10. Daire,2024/4555,2024/3377,25.09.2024
1082151700,10. Daire,2024/4255,2024/3376,25.09.2024
1082151800,10. Daire,2024/4641,2024/3378,25.09.2024
1082152700,10. Daire,2024/4926,2024/3381,25.09.2024
1086183700,6. Daire,2024/56,2024/4901,25.09.2024
1086183800,6. Daire,2024/862,2024/4904,25.09.2024
1083325200,10. Daire,2021/1378,2024/3400,25.09.2024
1084077600,10. Daire,2020/6502,2024/3425,25.09.2024
1084216200,10. Daire,2020/6759,2024/3415,25.09.2024
1084636600,6. Daire,2024/1065,2024/4900,25.09.2024
1085926400,4. Daire,2024/3160,2024/5085,25.09.2024
1087941400,6. Daire,2023/8667,2024/4908,25.09.2024
1090931900,6. Daire,2023/8104,2024/4940,25.09.2024
1081281600,9. Daire,2022/3951,2024/4257,24.09.2024
1081756300,9. Daire,2024/3813,2024/4264,24.09.2024
1081824500,9. Daire,2024/3814,2024/4262,24.09.2024
1082151500,10. Daire,2024/3690,2024/3330,24.09.2024
1086183500,6. Daire,2022/161,2024/4833,24.09.2024
1082589800,10. Daire,2021/3603,2024/3306,24.09.2024
1082590300,10. Daire,2021/3742,2024/3308,24.09.2024
1083604300,10. Daire,2020/4611,2024/3339,24.09.2024
1084610700,13. Daire,2021/1477,2024/3477,24.09.2024
1084636000,3. Daire,2022/2701,2024/4834,24.09.2024
1085120400,3. Daire,2024/65,2024/4816,24.09.2024
1085084000,3. Daire,2024/2441,2024/4815,24.09.2024
1085768500,4. Daire,2024/3023,2024/4972,24.09.2024
1088209000,6. Daire,2023/4446,2024/4849,24.09.2024
1088209500,6. Daire,2020/9612,2024/4835,24.09.2024
1088209600,6. Daire,2020/9518,2024/4834,24.09.2024
1089528000,13. Daire,2021/1028,2024/3483,24.09.2024
1089910200,3. Daire,2023/3653,2024/4831,24.09.2024
1089910500,3. Daire,2023/8251,2024/4817,24.09.2024
1091372900,3. Daire,2024/2175,2024/4833,24.09.2024
1091372700,3. Daire,2023/3834,2024/4832,24.09.2024
1091372500,3. Daire,2022/156,2024/4814,24.09.2024
1091397000,6. Daire,2020/9373,2024/4847,24.09.2024
1081966700,10. Daire,2020/6905,2024/3288,23.09.2024
1082589900,10. Daire,2021/4852,2024/3289,23.09.2024
1082589000,10. Daire,2020/6685,2024/3277,23.09.2024
1083152500,10. Daire,2021/4829,2024/3295,23.09.2024
1083152700,10. Daire,2021/5556,2024/3302,23.09.2024
1083152600,10. Daire,2021/4837,2024/3305,23.09.2024
1083604600,10. Daire,2021/4833,2024/3296,23.09.2024
1083604700,10. Daire,2021/4805,2024/3294,23.09.2024
1083604800,10. Daire,2021/5261,2024/3303,23.09.2024
1083604900,10. Daire,2021/5068,2024/3301,23.09.2024
1083604400,10. Daire,2021/5116,2024/3304,23.09.2024
1083604500,10. Daire,2021/4799,2024/3291,23.09.2024
1083605000,10. Daire,2021/4804,2024/3293,23.09.2024
